Trail_name,Difficulty,Average_rating,number_of_reviews,Length,description,Tags,Est_time,latitude,longitude,current_temperature,current_windspeed,current_winddirection,current_weather_code,Length (in km),City,State,Country,Best_Season,tags_list
Triund Trek Loop,Hard,4.6,72,Length: 19.0 km,"This is one of the top tourist destinations in the vicinity of Dharmshala, Himachal Pradesh. Spectacular views with some of the most dramatic weather conditions make up the visuals of this location. Weather is so dramatic that it changes within minutes and hence it is highly suggested to be prepared accordingly. 
Apart from the weather, this location has beautiful landscapes of snow-covered peaks with Dhauladhar ranges making the remaining sceneries. Dhauladhar is known for its verdant green...","Camping, Bird watching, Hiking, Snowshoeing, Backpacking, River, Views, Waterfall, Historic site, Scramble, Rocky",391.0471202,32.2052511,76.3250598,25.5,1.8,90.0,3.0,19.0,Dharmshala,Himachal Pradesh,India,"April - June, September - November","['camping', 'bird watching', 'hiking', 'snowshoeing', 'backpacking', 'river', 'views', 'waterfall', 'historic site', 'scramble', 'rocky']"
Sinhagad Fort,Hard,4.8,227,Length: 8.0 km,"Sinhagad Fort is a fort that was built 2000 years ago, and references to this fort can be found in the carvings of the Kaundinyeshwar temple. This fort has a long lost history associated with it, especially in terms of battles, and one such battle is the Battle of Sinhagad. It is built strategically with steep surrounding all around and has only two entrances to the fort, the Kalyan Darwaza and Pune Darwaza, this particular trail takes you through Pune Darwaza.
This fort has some of the most...","Hiking, Walking, Partially paved, Forest, Views, Wildflowers, Wildlife, Historic site, Scramble, Fee, Rocky, Muddy",177.5158415,18.3036029,73.5824636,23.1,8.7,246.0,3.0,8.0,Velhe,Maharashtra,India,October - February,"['hiking', 'walking', 'partially paved', 'forest', 'views', 'wildflowers', 'wildlife', 'historic site', 'scramble', 'fee', 'rocky', 'muddy']"
Blackberry Hill - Attukad Falls Loop,Moderate,4.6,64,Length: 9.3 kmEst. 3h 10m,"This is a beautiful mountain biking trail in Munnar. It goes through meadows, waterfalls, and the many tea plantations. Most of the track is paved with few bumps and rough patches although due to constant up and downs because of the elevation completing this on a geared bike is suggested. it is one of a kind experience to ride in these marvelous surroundings.","Hiking, Mountain biking, Partially paved, Forest, River, Views, Waterfall, Wildflowers, Wildlife, Muddy",190.0,10.0869959,77.0600915,20.6,11.7,288.0,3.0,9.3,Munnar,Kerala,India,September - March,"['hiking', 'mountain biking', 'partially paved', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'muddy']"
Triund Hill Trek,Hard,4.6,73,Length: 9.5 km,"This is one of the top tourist destinations in the vicinity of Dharmshala, Himachal Pradesh. Spectacular views with some of the most dramatic weather conditions make up the visuals of this location. Weather is so dramatic that it changes within minutes and hence it is highly suggested to be prepared accordingly. 
Apart from the weather, this location has beautiful landscapes of snow-covered peaks with Dhauladhar ranges making the remaining sceneries. Dhauladhar is known for its verdant green...","Camping, Bird watching, Hiking, Snowshoeing, Walking, Backpacking, Forest, River, Views, Waterfall, Wildflowers, Wildlife, Historic site, Scramble",206.6337431,32.2143039,76.3196717,24.8,1.8,90.0,3.0,9.5,Dharamsala,Himachal Pradesh,India,"April - June, September - November","['camping', 'bird watching', 'hiking', 'snowshoeing', 'walking', 'backpacking', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'historic site', 'scramble']"
Skandagiri Hills (Kalawara Betta),Hard,4.5,47,Length: 6.0 km,"Skandagiri, also known as Kalavara Durga, is an ancient mountain fortress located approximately 70 km from Bangalore City and 3 km from Chikballapur in the Indian state of Karnataka. It is off Bellary Road ( NH 7 Hyderabad-Bangalore Highway) and overlooks Nandi Hills and Muddenahalli.
Skandagiri is a perfect weekend getaway near Bangalore, preferred by most adventure and nature lovers. It is one of the most loved destinations for trekking near Bangalore that offers an ideal break from the...","Bird watching, Hiking, Forest, Views, Wildflowers, Wildlife, Historic site, Scramble, Fee, Rocky, Bugs, Muddy",138.6919726,13.0993764,77.388729,22.2,18.3,254.0,3.0,6.0,Chikkaballapur,Karnataka,India,October - February,"['bird watching', 'hiking', 'forest', 'views', 'wildflowers', 'wildlife', 'historic site', 'scramble', 'fee', 'rocky', 'bugs', 'muddy']"
Kunjapuri Temple Trail,Hard,4.8,41,Length: 22.5 km,"A beautiful trail near Rishikesh that takes one to the Kujapuri Temple. This trail passes through various small villages, farms, lakes, and waterfalls with the backdrops of the panoramic views of the Himalayas and the verdant green environments. 
Talk to the villagers to learn about the stories and explore some of the local cultures. Kunjapuri is a famous temple, and many pilgrims travel to it to pay their respect. 
This trail begins from Tapovan in Rishikesh which is pretty well connected...","Bird watching, Hiking, Walking, Forest, River, Views, Waterfall, Wildflowers, Wildlife, Historic site, Off trail, Muddy",458.9888907,30.1861243,78.4098097,28.0,7.7,229.0,2.0,22.5,Narendra Nagar,Uttarakhand,India,"March - June, September - November","['bird watching', 'hiking', 'walking', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'historic site', 'off trail', 'muddy']"
Makalidurga Trek,Moderate,4.7,38,Length: 3.7 km,"Makalidurga is a wonderful place with many stories and legends attached to it. There are two stories just on the name. Makali Beru, or Makali Root, was one of the woody climbers who first scaled this hill, and that's how this place got its name. Another story says that a ruler named Makaliarya used the fort as a granary, and that's how this place was named. There is one of the legends according to which Markandeya Rishi performed penance over here, and hence this place is called Makalidurga....","Bird watching, Hiking, Walking, Forest, Views, Wildflowers, Wildlife, Historic site, Scramble, Rocky",94.04452346,13.2929583,77.5431463,22.4,19.1,254.0,3.0,3.7,Doddaballapura,Karnataka,India,October - February,"['bird watching', 'hiking', 'walking', 'forest', 'views', 'wildflowers', 'wildlife', 'historic site', 'scramble', 'rocky']"
Nandi Steps (Nandi Hills),Hard,4.7,43,Length: 7.1 kmEst. 3h 13m,"Nandi Step or also known as Nandi Hills is a trek to the fort built by Tipu Sultan in the 18th century. Even though one can directly reach the fort using a car but it is not fun as the trail. This trail was used in the 18th century with almost 1200 steps it has some of the oldest structures on this path with beautiful views and rich history. This particular fort was Tipu Sultan's summer retreat fort. Come to this place for amazing views and a dose of history. 
The beginning point of this...","Hiking, Walking, Views, Historic site, Rocky, Bugs",193.0,13.0993764,77.388729,22.2,18.3,254.0,3.0,7.1,Chikkaballapur,Karnataka,India,October - February,"['hiking', 'walking', 'views', 'historic site', 'rocky', 'bugs']"
Karthani - Leta Trail,Hard,4.4,21,Length: 10.3 km,"This trail starts from Upper Bhagsu and takes you to Leta Peak and Khartani Peak via Bhagsunag Waterfall and furthermore leads one to Triund. This trail runs through the beautiful terrain of Himachal Pradesh, through the icy river, rough terrain, and icy patches, and with a background of some of the most breathtaking mountainscapes.
This whole region is covered with lush green surroundings that are not only green but highly biodiverse. Many different flora, fauna, and avifauna species can be...","Bird watching, Hiking, Snowshoeing, Walking, Cave, Forest, River, Views, Waterfall, Wildflowers, Wildlife, Scramble, Rocky, Snow",222.1632907,32.2052511,76.3250598,25.5,1.8,90.0,3.0,10.3,Dharmshala,Himachal Pradesh,India,"April - June, September - November","['bird watching', 'hiking', 'snowshoeing', 'walking', 'cave', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'scramble', 'rocky', 'snow']"
Nongriat Trek - Double Decker Living Root Bridge,Hard,4.3,34,Length: 4.5 kmEst. 2h 20m,"Beautiful hike on the double-decker living root bridge! The bridge consists of a multitude of steps, so please be prepared. All along this trail, there are a variety of small shops selling bottled water, chips, fruit, and other refreshments. The double-decker bridge is stunning, and there is a pool with fish that nibble on your feet. These piece of art bridges is a must-visit and has many stunning views with amazing lush green surroundings and a highly biodiverse flora and fauna. 
Trailhead...","Bird watching, Hiking, Walking, Forest, Lake, River, Views, Waterfall, Wildflowers, Wildlife",140.0,25.2648821,91.718957,24.2,6.6,189.0,80.0,4.5,Shella Bholaganj,Meghalaya,India,All Year,"['bird watching', 'hiking', 'walking', 'forest', 'lake', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife']"
