,Trail_name,Difficulty,Average_rating,number_of_reviews,Length (in km),Tags,Est_time,latitude,longitude,current_temperature,current_windspeed,current_winddirection,current_weather_code,City,State,Country,Best_Season,tags_list
0,Triund Trek Loop,Hard,4.6,72,19.0,"camping, bird watching, hiking, snowshoeing, backpacking, river, views, waterfall, historic site, scramble, rocky",238.80727808062974,32.2052511,76.3250598,25.9,2.3,231.0,3.0,Dharmshala,Himachal Pradesh,India,"April - June, September - November","['bird watching', 'scramble', 'rocky', 'snowshoeing', 'hiking', 'historic site', 'camping', 'backpacking', 'views', 'river', 'waterfall']"
1,Sinhagad Fort,Hard,4.8,227,8.0,"hiking, walking, partially paved, forest, views, wildflowers, wildlife, historic site, scramble, fee, rocky, muddy",238.80727808062974,18.3036029,73.5824636,22.0,7.7,233.0,3.0,Velhe,Maharashtra,India,October - February,"['scramble', 'rocky', 'forest', 'muddy', 'partially paved', 'walking', 'hiking', 'wildflowers', 'historic site', 'wildlife', 'views', 'fee']"
2,Blackberry Hill - Attukad Falls Loop,Moderate,4.6,64,9.3,"hiking, mountain biking, partially paved, forest, river, views, waterfall, wildflowers, wildlife, muddy",238.80727808062974,10.0869959,77.0600915,22.0,10.3,282.0,3.0,Munnar,Kerala,India,September - March,"['forest', 'muddy', 'partially paved', 'river', 'hiking', 'wildflowers', 'wildlife', 'views', 'mountain biking', 'waterfall']"
3,Triund Hill Trek,Hard,4.6,73,9.5,"camping, bird watching, hiking, snowshoeing, walking, backpacking, forest, river, views, waterfall, wildflowers, wildlife, historic site, scramble",238.80727808062974,32.2143039,76.3196717,25.1,2.3,231.0,3.0,Dharamsala,Himachal Pradesh,India,"April - June, September - November","['bird watching', 'scramble', 'forest', 'snowshoeing', 'walking', 'hiking', 'wildflowers', 'historic site', 'camping', 'backpacking', 'wildlife', 'views', 'river', 'waterfall']"
4,Skandagiri Hills (Kalawara Betta),Hard,4.5,47,6.0,"bird watching, hiking, forest, views, wildflowers, wildlife, historic site, scramble, fee, rocky, bugs, muddy",238.80727808062974,13.0993764,77.388729,21.6,17.6,255.0,3.0,Chikkaballapur,Karnataka,India,October - February,"['bird watching', 'scramble', 'rocky', 'forest', 'muddy', 'hiking', 'wildflowers', 'historic site', 'wildlife', 'views', 'bugs', 'fee']"
5,Kunjapuri Temple Trail,Hard,4.8,41,22.5,"bird watching, hiking, walking, forest, river, views, waterfall, wildflowers, wildlife, historic site, off trail, muddy",238.80727808062974,30.1861243,78.4098097,26.0,4.1,232.0,3.0,Narendra Nagar,Uttarakhand,India,"March - June, September - November","['bird watching', 'off trail', 'forest', 'muddy', 'walking', 'hiking', 'wildflowers', 'historic site', 'wildlife', 'views', 'river', 'waterfall']"
6,Makalidurga Trek,Moderate,4.7,38,3.7,"bird watching, hiking, walking, forest, views, wildflowers, wildlife, historic site, scramble, rocky",238.80727808062974,13.2929583,77.5431463,21.6,18.0,254.0,3.0,Doddaballapura,Karnataka,India,October - February,"['bird watching', 'scramble', 'rocky', 'forest', 'walking', 'hiking', 'wildflowers', 'historic site', 'wildlife', 'views']"
7,Nandi Steps (Nandi Hills),Hard,4.7,43,7.1,"hiking, walking, views, historic site, rocky, bugs",238.80727808062974,13.0993764,77.388729,21.6,17.6,255.0,3.0,Chikkaballapur,Karnataka,India,October - February,"['rocky', 'walking', 'hiking', 'historic site', 'views', 'bugs']"
8,Karthani - Leta Trail,Hard,4.4,21,10.3,"bird watching, hiking, snowshoeing, walking, cave, forest, river, views, waterfall, wildflowers, wildlife, scramble, rocky, snow",238.80727808062974,32.2052511,76.3250598,25.9,2.3,231.0,3.0,Dharmshala,Himachal Pradesh,India,"April - June, September - November","['bird watching', 'wildlife', 'scramble', 'rocky', 'snow', 'forest', 'snowshoeing', 'walking', 'hiking', 'wildflowers', 'cave', 'views', 'river', 'waterfall']"
9,Nongriat Trek - Double Decker Living Root Bridge,Hard,4.3,34,4.5,"bird watching, hiking, walking, forest, lake, river, views, waterfall, wildflowers, wildlife",238.80727808062974,25.2648821,91.718957,22.0,6.8,162.0,2.0,Shella Bholaganj,Meghalaya,India,All Year,"['bird watching', 'forest', 'walking', 'lake', 'hiking', 'wildflowers', 'wildlife', 'views', 'river', 'waterfall']"
